verificationKey,scientificName,nameKey,taxonID,kingdom,phylum,class,order,family,genus,species,datasetKey,parentKey,parent,canonicalName,authorship,nameType,rank,taxonomicStatus,acceptedKey,acceptedName,datasetKeys,taxonKeys
1133603,"Batocera lineolata Chevrolat, 1852",1383968,gbif:1133603,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Batocera,Batocera lineolata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1133595,Batocera,Batocera lineolata,"Chevrolat, 1852",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112854
1152186,"Callidiellum rufipennis (Motschulsky, 1861)",1819742,gbif:1152186,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Callidiellum,Callidiellum rufipennis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1152185,Callidiellum,Callidiellum rufipennis,"(Motschulsky, 1861) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206105093|164301247
1194885,"Otiorhynchus meridionalis Gyllenhal, 1834",7967209,gbif:1194885,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus meridionalis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1194803,Otiorhynchus,Otiorhynchus meridionalis,"Gyllenhal, 1834",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301243
1194989,"Otiorhynchus cribricollis Gyllenhal, 1834",7964761,gbif:1194989,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus cribricollis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1194803,Otiorhynchus,Otiorhynchus cribricollis,"Gyllenhal, 1834",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301244
1195013,"Otiorhynchus aurifer Boheman, 1842",16161250,gbif:1195013,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus aurifer,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1194803,Otiorhynchus,Otiorhynchus aurifer,"Boheman, 1842",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301242
1247584,"Stenopelmus rufinasus Gyllenhal, 1835",10712736,gbif:1247584,Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Stenopelmus,Stenopelmus rufinasus,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1247582,Stenopelmus,Stenopelmus rufinasus,"Gyllenhal, 1835",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109572
1276876,"Ctenochares bicolorus (Linnaeus, 1767)",3075773,gbif:1276876,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ctenochares,Ctenochares bicolorus,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1276863,Ctenochares,Ctenochares bicolorus,"(Linnaeus, 1767) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206099772
1309600,"Andricus kollari (Hartig, 1843)",649985,gbif:1309600,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Andricus,Andricus kollari,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1309591,Andricus,Andricus kollari,"(Hartig, 1843) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206110834
1309606,"Andricus grossulariae Giraud, 1859",649720,gbif:1309606,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Andricus,Andricus grossulariae,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1309591,Andricus,Andricus grossulariae,"Giraud, 1859",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206097570
1309635,"Aphelonyx cerricola (Giraud, 1859)",813053,gbif:1309635,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Aphelonyx,Aphelonyx cerricola,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1309634,Aphelonyx,Aphelonyx cerricola,"(Giraud, 1859) ",SCIENTIFIC,SPECIES,DOUBTFUL,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206113372
