checklist_scientificName	backbone_scientificName	backbone_taxonomicStatus	backbone_acceptedName	backbone_taxonKey	backbone_acceptedKey	backbone_kingdom	backbone_issues	verification_key	date_added	checklists	remarks
Sedum telephium L. subsp. maximum (L.) Rouy & E.G. Camus	Sedum telephium subsp. maximum (L.) Rouy & E.G.Camus, 1901	SYNONYM	Hylotelephium maximum (L.) J.Holub	9340574	7334631	Plantae	ORIGINAL_NAME_DERIVED	7334631	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Zinnia violacea Cav.	Zinnia violacea Cav.	SYNONYM	Zinnia elegans Jacq.	3111758	3111754	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hemizonia fasciculata Torr. & A. Gray	Hemizonia fasciculata (DC.) Torr. & A.Gray	SYNONYM	Deinandra fasciculata Greene	3145372	3145375	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hemizonia pungens (Hook. & Arnott) Torr. & A. Gray	Hemizonia pungens (Hook. & Arn.) Torr. & A.Gray	SYNONYM	Centromadia pungens subsp. pungens	3145384	7222628	Plantae	ORIGINAL_NAME_DERIVED	3141046	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	According to the Flora of north America Hemizonia pungens is a synonym of both subspecies of Centromadia pungens
Artemisia sieversiana Ehrh.	Artemisia sieversiana Ehrh.	SYNONYM	Artemisia sieversiana Ehrh. ex Willd.	7807853	3121562	Plantae	CONFLICTING_BASIONYM_COMBINATION	3121562	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Matricaria recutita L. var. coronata (J. Gay ex Boiss.) Fertig	Matricaria recutita var. coronata (J.Gay ex Boiss.) I.Gruenberg-Fertig	SYNONYM	Matricaria chamomilla L.	8258539	8370958	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pilosella x duplex (Peter) Holub	Pilosella duplex (Peter) J.Holub	SYNONYM	Pilosella prussica (Nägeli & Peter) Soják	3134993	9321334	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bidens frondosa L. var. anomala Porter ex Fernald	Bidens frondosa var. anomala Porter ex Fern.	SYNONYM	Bidens frondosa L.	5700912	5392174	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eclipta prostrata (L.) L.	Eclipta prostrata (L.) L.	SYNONYM	Eclipta alba Hassk.	5384950	5384955	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bidens frondosa L. var. frondosa	Bidens frondosa var. frondosa	SYNONYM	Bidens frondosa L.	7872129	5392174	Plantae		5392174	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
