key,scientificName,canonicalName,authorship,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,parentKey,parent,acceptedKey,accepted,source
1342324,"Xylocopa virginica (Linnaeus, 1771)",Xylocopa virginica,"(Linnaeus, 1771)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,1342048,Xylocopa,,,unified checklist
1346919,"Isodontia mexicana (de Saussure, 1867)",Isodontia mexicana,"(de Saussure, 1867)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Isodontia,Isodontia mexicana,1346861,Isodontia,,,unified checklist
1371011,"Megastigmus spermotrophus Wachtl, 1893",Megastigmus spermotrophus,"Wachtl, 1893",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Hymenoptera,Torymidae,Megastigmus,Megastigmus spermotrophus,1370824,Megastigmus,,,unified checklist
1411953,"Carausius morosus Brunner von Wattenwyl, 1907",Carausius morosus,"Brunner von Wattenwyl, 1907",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Phasmida,Lonchodidae,Carausius,Carausius morosus,1411063,Carausius,,,unified checklist
1419894,"Euborellia annulipes (Lucas, 1847)",Euborellia annulipes,"(Lucas, 1847)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Euborellia,Euborellia annulipes,1419888,Euborellia,,,unified checklist
1420197,"Aleurodothrips fasciapennis (Franklin, 1908)",Aleurodothrips fasciapennis,"(Franklin, 1908)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,Aleurodothrips,Aleurodothrips fasciapennis,1420196,Aleurodothrips,,,unified checklist
1420612,"Scirtothrips longipennis (Bagnall, 1909)",Scirtothrips longipennis,"(Bagnall, 1909)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Scirtothrips,Scirtothrips longipennis,1420602,Scirtothrips,,,unified checklist
1420765,"Chaetanaphothrips orchidii (Moulton, 1907)",Chaetanaphothrips orchidii,"(Moulton, 1907)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Chaetanaphothrips,Chaetanaphothrips orchidii,1420764,Chaetanaphothrips,,,unified checklist
1420769,"Aurantothrips orchidaceus (Bagnall, 1909)",Aurantothrips orchidaceus,"(Bagnall, 1909)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Aurantothrips,Aurantothrips orchidaceus,1420768,Aurantothrips,,,unified checklist
1420791,"Leucothrips nigripennis Reuter, 1904",Leucothrips nigripennis,"Reuter, 1904",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Leucothrips,Leucothrips nigripennis,1420790,Leucothrips,,,unified checklist
1420795,"Heliothrips haemorrhoidalis (Bouché, 1833)",Heliothrips haemorrhoidalis,"(Bouché, 1833)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Heliothrips,Heliothrips haemorrhoidalis,1420794,Heliothrips,,,unified checklist
1420828,"Hercinothrips bicinctus (Bagnall, 1919)",Hercinothrips bicinctus,"(Bagnall, 1919)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Thysanoptera,Thripidae,Hercinothrips,Hercinothrips bicinctus,1420827,Hercinothrips,,,unified checklist
