verificationKey,marine,freshwater,terrestrial,datasetKey,taxonKey,scientificName
2379105,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117241,Neogobius fluviatilis
2379245,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,143611964,Proterorhinus semilunaris
2382155,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117242,Sander lucioperca
2394486,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117243,Lepomis gibbosus
2394563,FALSE,TRUE,FALSE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042312,"Micropterus salmoides (Lacépède, 1802)"
2399874,TRUE,FALSE,FALSE,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130149,"Micropogonias undulatus (Linnaeus, 1766)"
2402129,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117250,Acipenser guldenstaedti
2402168,FALSE,TRUE,FALSE,98940a79-2bf1-46e6-afd6-ba2e85a26f9f,141117255,Acipenser ruthenus
2426640,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437865,"Pelophylax bedriagae (Camerano, 1882)"
2426661,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437864,"Pelophylax ridibundus (Pallas, 1771)"
2427091,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437867,"Lithobates catesbeianus (Shaw, 1802)"
2431821,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437849,"Pachytriton labiatus (Unterstein, 1930)"
2431875,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437851,"Pleurodeles waltl Michahelles, 1830"
2431886,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437847,"Triturus marmoratus (Latreille, 1800)"
2433536,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437823,"Nasua nasua (Linnaeus, 1766)"
2433652,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437826,"Mustela vison Schreber, 1777"
2434552,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437817,"Nyctereutes procyonoides (Gray, 1834)"
2435035,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437813,"Felis catus Linnaeus, 1758"
2435451,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437746,"Sarcophilus harrisii (Boitard, 1841)"
2436886,FALSE,FALSE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042155,Sylvilagus floridanus (J.A. Allen 1890)
2436940,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437742,"Oryctolagus cuniculus (Linnaeus, 1758)"
2437232,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437771,"Cynomys ludovicianus (Ord, 1815)"
2437282,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437787,"Tamiasciurus hudsonicus (Erxleben, 1777)"
2437394,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437797,"Callosciurus erythraeus (Pallas, 1779)"
2437397,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437794,"Callosciurus prevostii (Desmarest, 1822)"
2437450,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437801,"Tamias sibiricus (Laxmann, 1769)"
2437619,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437808,"Dolichotis patagonum (Zimmermann, 1780)"
2439261,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437763,"Rattus norvegicus (Berkenhout, 1769)"
2439838,FALSE,TRUE,FALSE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437757,"Castor canadensis Kuhl, 1820"
2440946,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437842,"Muntiacus reevesi (Ogilby, 1839)"
2440954,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437840,"Cervus nippon Temminck, 1838"
2441122,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437833,"Ovis ammon (Linnaeus, 1758)"
2455523,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437874,"Orthriophis taeniurus (Cope, 1861)"
2469188,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437880,"Podarcis muralis (Laurenti, 1768)"
2498015,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042244,Tadorna ferruginea (Pallas 1764)
2498027,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042291,Anser fabalis (Latham 1787)
2498035,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042194,Anser indicus (Latham 1790)
2498036,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042240,Anser anser (Linnaeus 1758)
2498096,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042276,Anas falcata (Georgi 1775)
2498110,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042236,"Anas sibilatrix Poeppig, 1829"
2498154,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042289,"Anas americana Gmelin, 1789"
2498252,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042280,Alopochen aegyptiacus (Linnaeus 1766)
2498305,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042190,Oxyura jamaicensis (Gmelin 1789)
2498344,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042264,Cygnus atratus (Latham 1790)
2498387,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042281,Aix sponsa (Linnaeus 1758)
2498388,FALSE,TRUE,TRUE,1738f272-6b5d-4f43-9a92-453a8c5ea50a,146042210,Aix galericulata (Linnaeus 1758)
