taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,verificationKey
145954681,Mespilus germanica,rinse-checklist:taxon:f5c9618c530b081efbc93359bbb4fc5c,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3031774,Mespilus germanica L.,Plantae,SPECIES,ACCEPTED,,,3031774
145954682,Callosciurus erythraeus,rinse-checklist:taxon:3ee56c7e886054e69230b09bf831f029,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2437394,"Callosciurus erythraeus (Pallas, 1779)",Animalia,SPECIES,ACCEPTED,,,2437394
145954686,Rattus rattus,rinse-checklist:taxon:b4b2aefe7d2c104c84d2bad87f6cc42f,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2439270,"Rattus rattus (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,2439270
145954687,Saururus cernuus,rinse-checklist:taxon:f53eb763f8f470b2fe48a26b12b575ee,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5384932,Saururus cernuus L.,Plantae,SPECIES,ACCEPTED,,,5384932
145954688,Rattus norvegicus,rinse-checklist:taxon:357b937d2bc49640e4c315068d460eb1,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2439261,"Rattus norvegicus (Berkenhout, 1769)",Animalia,SPECIES,ACCEPTED,,,2439261
145954691,Cosmos bipinnatus,rinse-checklist:taxon:f48670c94debd662bf58cde0b44fbe7b,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3098912,Cosmos bipinnatus Cav.,Plantae,SPECIES,ACCEPTED,,,3098912
145954694,Mustela vison,rinse-checklist:taxon:9e3a3d0f10e983f9ee07c0f1374f126b,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5218823,"Mustela vison Schreber, 1777",Animalia,SPECIES,SYNONYM,2433652,"Neovison vison (Schreber, 1777)",
145954704,Nyctereutes procyonoides,rinse-checklist:taxon:26de0cee448d715e6b8d64a8b9521e12,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2434552,"Nyctereutes procyonoides (Gray, 1834)",Animalia,SPECIES,ACCEPTED,,,2434552
145954705,Notobasis syriaca,rinse-checklist:taxon:f25d20a25cf283b752ec10f653c7f96c,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3122323,Notobasis syriaca Cass.,Plantae,SPECIES,ACCEPTED,,,3122323
145954708,Hystrix cristata,rinse-checklist:taxon:8c3067d998148cc928dc78971863ea8b,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5219888,"Hystrix cristata Linnaeus, 1758",Animalia,SPECIES,ACCEPTED,,,5219888
145954711,Astrantia major,rinse-checklist:taxon:f197a778e9d324a944b71a31c4103afd,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3034915,Astrantia major L.,Plantae,SPECIES,ACCEPTED,,,3034915
145954714,Procyon cancrivorus,rinse-checklist:taxon:2683b607c7cab82a899ff3fb0ac46e46,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,9518324,Procyon cancrivorus G,Animalia,SPECIES,ACCEPTED,,,9518324
145954715,Procyon lotor,rinse-checklist:taxon:2456f74f1c6473a4a40acdfe04f2f5c0,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5218786,"Procyon lotor (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,5218786
145954716,Hierochloe odorata,rinse-checklist:taxon:f13cc2d5808a02b4f0f9e0bad8faf9f5,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2703336,Hierochloe odorata (L.) P.Beauv.,Plantae,SPECIES,SYNONYM,2703346,Anthoxanthum nitens (Weber) Y.Schouten & Veldkamp,
145954720,Lycopus exaltatus,rinse-checklist:taxon:efe9ba7fa4aba30eccd7a9733a9a135e,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5605751,Lycopus exaltatus L.f.,Plantae,SPECIES,ACCEPTED,,,5605751
145954724,Hypecoum pendulum,rinse-checklist:taxon:eef4433994ce2dd8939a8465cd240ef5,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2888559,Hypecoum pendulum L.,Plantae,SPECIES,ACCEPTED,,,2888559
145954725,Mephitis mephitis,rinse-checklist:taxon:bd69640671e7bbc776ab57112ab578f6,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5219380,"Mephitis mephitis (Schreber, 1776)",Animalia,SPECIES,ACCEPTED,,,5219380
145954732,Festulolium x braunii,rinse-checklist:taxon:fdb5621dee51d47087c7a2aea5f4dbaa,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2703221,×Festulolium braunii (K.Richt.) A.Camus,Plantae,SPECIES,SYNONYM,9660816,Festuca pratensis x Lolium multiflorum,
145954733,Cervus nippon,rinse-checklist:taxon:93f65f3b1cb3ca99ea0f8d769e79f3ff,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2440954,"Cervus nippon Temminck, 1838",Animalia,SPECIES,ACCEPTED,,,2440954
145954736,Foeniculum vulgare,rinse-checklist:taxon:fc9e16bd94b85dabfaa6940ac55d0633,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3034922,Foeniculum vulgare Mill.,Plantae,SPECIES,ACCEPTED,,,3034922
145954740,Begonia semperflorens,rinse-checklist:taxon:fcce2de9eb362717b9539eacab320774,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2874718,Begonia semperflorens Link & Otto,Plantae,SPECIES,SYNONYM,6710226,Begonia cucullata var. cucullata,
145954748,Spartium junceum,rinse-checklist:taxon:fe9af22fc616d257abb6213e29f26ecb,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5355395,Spartium junceum L.,Plantae,SPECIES,ACCEPTED,,,5355395
145954752,Modiola caroliniana,rinse-checklist:taxon:fee2256e61e843b61b7449ec1ea475f9,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,8338793,Modiola caroliniana (L.) G.Don,Plantae,SPECIES,ACCEPTED,,,8338793
145954753,Carassius gibelio,rinse-checklist:taxon:47c02fddfe79f0912d279aa997a20647,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2366634,"Carassius gibelio (Bloch, 1782)",Animalia,SPECIES,ACCEPTED,,,2366634
145954755,Carassius auratus,rinse-checklist:taxon:0165d840e650c5f083699ed4ecf4a43a,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,4286942,"Carassius auratus (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,4286942
145954756,Lobularia maritima,rinse-checklist:taxon:fe32ff7e9cec35eab82f71028379f417,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5373358,Lobularia maritima (L.) Desv.,Plantae,SPECIES,ACCEPTED,,,5373358
145954759,Atherina boyeri,rinse-checklist:taxon:02708d4cde1fdca47690a23447230437,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2411944,"Atherina boyeri Risso, 1810",Animalia,SPECIES,ACCEPTED,,,2411944
145954760,Trachyspermum ammi,rinse-checklist:taxon:dd9275cfbc5b81a22d0766acd18d2d12,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3034241,Trachyspermum ammi Sprague,Plantae,SPECIES,ACCEPTED,,,3034241
145954764,Melampodium montanum,rinse-checklist:taxon:dfac5dca5f59979e08d1f2d1dd2f589a,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,3139003,Melampodium montanum Benth.,Plantae,SPECIES,ACCEPTED,,,3139003
145954767,Neogobius kessleri,rinse-checklist:taxon:fdb3ae46c4797489a6c0f985cef4939f,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2379062,"Neogobius kessleri (Günther, 1861)",Animalia,SPECIES,SYNONYM,4285968,"Ponticola kessleri (Günther, 1861)",
145954768,Sclerolaena muricata,rinse-checklist:taxon:de39db4437bf7509dbc96daa05a91698,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,7933495,Sclerolaena muricata Domin,Plantae,SPECIES,ACCEPTED,,,7933495
