verificationKey,locality,locationId,startYear,endYear,datasetKey,taxonKeys,scientificNames,degreeOfEstablishments,pathways
1314773,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301195,"Monomorium pharaonis (Linnaeus, 1758)",NA,NA
1314773,Flemish Region,ISO_3166:BE-VLG,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301195,"Monomorium pharaonis (Linnaeus, 1758)",established,NA
1316805,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301210,"Tapinoma melanocephalum (Fabricius, 1793)",NA,NA
1316805,Walloon Region,ISO_3166:BE-WAL,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301210,"Tapinoma melanocephalum (Fabricius, 1793)",established,NA
1316908,Belgium,ISO_3166:BE,2021,2021,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431533,Linepithema humile,NA,NA
1316908,Flemish Region,ISO_3166:BE-VLG,2021,2021,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431533,Linepithema humile,NA,NA
1319260,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301214,"Tetraponera allaborans (Walker, 1859)",NA,NA
1319260,Walloon Region,ISO_3166:BE-WAL,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301214,"Tetraponera allaborans (Walker, 1859)",casual,NA
1320777,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301204,"Plagiolepis pygmaea (Latreille, 1798)",casual,NA
1321805,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301202,"Pheidole bilimeki Mayr, 1870",NA,NA
1321805,Brussels-Capital Region,ISO_3166:BE-BRU,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301202,"Pheidole bilimeki Mayr, 1870",casual,NA
1322674,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301201,"Pheidole anastasii Emery, 1896",casual,NA
1323402,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301220,"Tetramorium bicarinatum (Nylander, 1846)",NA,NA
1323402,Walloon Region,ISO_3166:BE-WAL,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301220,"Tetramorium bicarinatum (Nylander, 1846)",established,NA
1325120,Belgium,ISO_3166:BE,2022,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247432039,Crematogaster scutellaris,NA,NA
1325120,Brussels-Capital Region,ISO_3166:BE-BRU,2022,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247432039,Crematogaster scutellaris,NA,NA
1325561,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301212,"Paratrechina longicornis (Latreille, 1802)",casual,NA
1326634,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301206,"Hypoponera punctatissima (Roger, 1859)",NA,NA
1326634,Flemish Region,ISO_3166:BE-VLG,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301206,"Hypoponera punctatissima (Roger, 1859)",casual,NA
1342324,Belgium,ISO_3166:BE,2015,2015,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206102095,Xylocopa virginica,NA,NA
1342324,Flemish Region,ISO_3166:BE-VLG,2015,2015,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206102095,Xylocopa virginica,NA,NA
1346919,Belgium,ISO_3166:BE,2010,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112635,Isodontia mexicana,NA,NA
1346919,Brussels-Capital Region,ISO_3166:BE-BRU,2017,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112635,Isodontia mexicana,NA,NA
1346919,Flemish Region,ISO_3166:BE-VLG,2010,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112635,Isodontia mexicana,NA,NA
1346919,Walloon Region,ISO_3166:BE-WAL,2018,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112635,Isodontia mexicana,NA,NA
1371011,Belgium,ISO_3166:BE,2020,2020,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206111145,Megastigmus spermotrophus,NA,NA
1371011,Walloon Region,ISO_3166:BE-WAL,2020,2020,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206111145,Megastigmus spermotrophus,NA,NA
1411953,Belgium,ISO_3166:BE,2020,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206098173,Carausius morosus,NA,NA
1411953,Brussels-Capital Region,ISO_3166:BE-BRU,2022,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206098173,Carausius morosus,NA,NA
1411953,Flemish Region,ISO_3166:BE-VLG,2020,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206098173,Carausius morosus,NA,NA
1411953,Walloon Region,ISO_3166:BE-WAL,2023,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206098173,Carausius morosus,NA,NA
1419894,Belgium,ISO_3166:BE,2022,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431826,Euborellia annulipes,NA,NA
1419894,Brussels-Capital Region,ISO_3166:BE-BRU,2022,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431826,Euborellia annulipes,NA,NA
1419894,Flemish Region,ISO_3166:BE-VLG,2022,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431826,Euborellia annulipes,NA,NA
