taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
168400528	Rumex salicifolius Weinm. var. triangulivalvis (Danser) Hickman	9ff7d317-609b-4c08-bd86-3bc404b77c42											4036350	manual match: to that name	Tim Adriaens	2021-05-08	FALSE
141266419	Rumex x hybridus Kindb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8012649	Rumex ×hybridus Kindb.	Plantae	SPECIES	SYNONYM	10296199	Rumex longifolius x obtusifolius	Plantae	SPECIES	ACCEPTED				2019-10-12	TRUE
206101943	Sacchiphantes abietis	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2049664	Sacchiphantes abietis (Linnaeus, 1758)	Animalia	SPECIES	SYNONYM	2049661	Adelges abietis (Linnaeus, 1758)	Animalia	SPECIES	ACCEPTED	2049661	accept	Tim Adriaens	2023-09-15	FALSE
206096668	Sagina subulata	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	7457394	Sagina subulatus Hook.f.	Plantae	SPECIES	SYNONYM	5588185	Colobanthus subulatus (d'Urv.) Hook.fil.	Plantae	SPECIES	ACCEPTED	5588185	accept	Tim Adriaens	2023-09-15	FALSE
141267198	Sagina subulata (Swartz) C. Presl	9ff7d317-609b-4c08-bd86-3bc404b77c42	12389395	Sagina subulata (Sw.) C.Presl	Plantae	SPECIES	PROPARTE_SYNONYM	9440906	Sagina alexandrae Iamonico	Plantae	SPECIES	ACCEPTED	9440906	accept	Tim Adriaens	2023-09-15	FALSE
180661043	Salamandra salamandra gallaica (Seonane, 1884)	a12e2bf8-13ce-4d0b-b2d4-b1cd20450a63														2021-05-10	FALSE
168131182	Salamandra salamandra gallaica (Seonane, 1884)	1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2														2021-05-08	FALSE
168131184	Salamandra salamandra terrestris (Lacépède, 1788)	1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2														2021-05-08	FALSE
206103635	Salix acutifolia	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	5372686	Salix acutifolia Turcz.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	7266656	Salix rorida Laksch.	Plantae	SPECIES	ACCEPTED	7266656	accept	Tim Adriaens	2023-09-15	FALSE
141266620	Salix babylonica L. var. pekinensis A. Henry	9ff7d317-609b-4c08-bd86-3bc404b77c42	9306497	Salix babylonica var. pekinensis A.Henry	Plantae	VARIETY	SYNONYM	5372639	Salix babylonica L.	Plantae	SPECIES	ACCEPTED	5372639	accept	Tim Adriaens	2018-12-20	FALSE
206097422	Salix daphnoides	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	5372913	Salix daphnoides Brandis	Plantae	SPECIES	HETEROTYPIC_SYNONYM	5583195	Salix dolichostachya Flod.	Plantae	SPECIES	ACCEPTED	5583195	accept	Tim Adriaens	2023-09-15	FALSE
141266626	Salix dasyclados Wimm.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5583837	Salix ×dasyclados Wimm.	Plantae	SPECIES	SYNONYM	8183217	Salix gmelinii Pall.	Plantae	SPECIES	ACCEPTED	8183217	accept	Tim Adriaens	2023-09-15	FALSE
141266623	Salix elaeagnos Scop. subsp. angustifolia (Cariot) Rech. f.	9ff7d317-609b-4c08-bd86-3bc404b77c42														2018-12-20	TRUE
206098112	Salix euxina	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	5927965	Salix euxina I.V.Belyaeva	Plantae	SPECIES	SYNONYM	7266329	Salix alba subsp. alba	Plantae	SUBSPECIES	ACCEPTED	7266329	accept	Tim Adriaens	2023-09-15	FALSE
163968277	Salix euxina I.V.Belyaeva	9ff7d317-609b-4c08-bd86-3bc404b77c42	5927965	Salix euxina I.V.Belyaeva	Plantae	SPECIES	SYNONYM	7266329	Salix alba subsp. alba	Plantae	SUBSPECIES	ACCEPTED	7266329	accept	Tim Adriaens	2023-09-15	FALSE
206098631	Salix gmelinii	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	5583289	Salix gmelinii Turcz.	Plantae	SPECIES	SYNONYM	7104074	Salix lapponum L.	Plantae	SPECIES	ACCEPTED	7104074	accept	Tim Adriaens	2023-09-15	FALSE
141266619	Salix purpurea L. var. purpurea	9ff7d317-609b-4c08-bd86-3bc404b77c42	7266339	Salix purpurea var. purpurea	Plantae	VARIETY	SYNONYM	7266343	Salix purpurea subsp. purpurea	Plantae	SUBSPECIES	ACCEPTED	7266343	accept	Tim Adriaens	2021-05-08	FALSE
