taxonID,description,type,language,source
https://www.gbif.org/species/11921804,Africa,native range,en,"https://www.gbif.org/species/141266083: Ridolfia segetum Moris in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11921804,Eastern Asia,native range,en,"https://www.gbif.org/species/141266083: Ridolfia segetum Moris in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11921804,Eastern Europe,native range,en,"https://www.gbif.org/species/141266083: Ridolfia segetum Moris in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/11921804,Europe,native range,en,"https://www.gbif.org/species/141266083: Ridolfia segetum Moris in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/12132283,Europe,native range,en,"https://www.gbif.org/species/141266493: Malva alcea L. var. ribifolia (Viv.) Paol. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/12187916,South America,native range,en,"https://www.gbif.org/species/141264598: Tarenaya hassleriana (Chodat) Iltis in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/12205713,Europe,native range,en,"https://www.gbif.org/species/141265698: Triticum compactum Host in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/12218002,Africa,native range,en,"https://www.gbif.org/species/141264823: Hedera maroccana McAllister in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/12246414,Africa,native range,en,"https://www.gbif.org/species/141265767: Hainardia cylindrica (Willd.) Greuter in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/12246414,Eastern Asia,native range,en,"https://www.gbif.org/species/141265767: Hainardia cylindrica (Willd.) Greuter in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
