verifiedKey,startYear,lastYear,sourceChecklist,sourceTaxa
1651430,2000,2016,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437984
1652150,2008,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437985
1652212,2002,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437986
1690429,1995,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438218
1702101,2010,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438215
1713034,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438228
1713418,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958525
1718308,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438230
1719204,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438232
1722140,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438223
1722299,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438226
1728965,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438212
1736574,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959443
1737808,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959870
1737917,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959877
1740482,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958925
1748805,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960796
1749449,1999,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438078
1749886,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960816
1749936,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960820
1750056,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960814
1750097,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960808
1750157,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960810
1750159,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960806
1759673,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959109
1782763,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959021
1785185,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958461
1787590,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958371
1793877,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960115
