verifiedKey,marine,freshwater,terrestrial,sourceChecklist,sourceTaxon
1554705,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960216
1574948,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960568
1574951,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960570
1574962,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960566
1593181,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958101
1593767,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958053
1595142,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961710
1596749,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960506
1599075,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960008
1606124,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959503
1622796,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958466
1626042,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961797
1626096,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961799
1650106,FALSE,TRUE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437982
1651430,FALSE,TRUE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437984
1652150,FALSE,TRUE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437985
1652212,FALSE,TRUE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437986
1690429,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438218
1702101,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438215
1713034,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438228
1713418,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958525
1718308,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438230
1719204,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438232
1722140,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438223
1722299,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438226
1728965,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438212
1736574,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959443
1737808,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959870
1737917,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959877
1740482,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958925
1748805,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960796
1749449,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438078
1749886,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960816
1749936,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960820
1750056,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960814
1750097,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960808
1750157,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960810
1750159,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960806
1759673,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959109
1782763,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959021
1785185,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958461
1787590,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958371
1793877,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960115
1820406,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959014
1824113,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957901
1830147,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960770
1830271,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960766
1830284,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960764
1831168,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958230
1832810,TRUE,FALSE,FALSE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960291
1836899,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960468
1837172,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959854
1849209,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960393
1850279,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958455
1850450,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958453
1852118,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960491
1852751,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960036
1856130,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958929
1856133,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958930
1856701,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961430
1857068,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957729
1857577,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958663
1857626,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958029
1858100,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960643
1869858,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145962038
1870450,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958495
1871826,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957668
1872901,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958513
1873079,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958120
1873890,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959401
1873903,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959403
1873919,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959399
1876452,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959994
1876542,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961640
1876941,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960891
1877032,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960327
1877941,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957986
1877988,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957984
1878470,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961476
1878490,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961475
1879452,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959098
1882905,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958855
1932752,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438084
1941864,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438087
1945569,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958771
1957570,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960170
1983000,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961043
1983288,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961046
1983888,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961048
1986452,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961768
1997215,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959891
2000152,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960674
2000204,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960673
2008616,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957744
2008878,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960012
2009281,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959465
2012118,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958184
2012126,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961355
2020655,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959739
2020686,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958747
2020688,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958746
2020779,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960735
2020835,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959777
2020879,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961375
2031786,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959313
2032333,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958342
2038171,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959258
2040612,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959354
2041682,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960518
2042185,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958942
2043586,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960522
2045436,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958614
2049181,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961098
2049639,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959149
2049661,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961253
2050224,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958117
