checklist_key	checklist_scientificName	checklist_datasetKey	backbone_taxonKey	backbone_scientificName	backbone_species	backbone_genus	backbone_family	backbone_order	backbone_class	backbone_phylum	backbone_kingdom	backbone_rank	backbone_speciesKey	backbone_taxonomicStatus	backbone_acceptedKey	backbone_acceptedName	backbone_issues
140562987	Orchestia cavimana	289244ee-e1c1-49aa-b2d7-d379391ce265	2218567	Orchestia cavimana Heller, 1865	Orchestia cavimana	Orchestia	Talitridae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	2218567	ACCEPTED			NULL
140562989	Crangonyx pseudogracilis	289244ee-e1c1-49aa-b2d7-d379391ce265	2217982	Crangonyx pseudogracilis Bousfield, 1958	Crangonyx pseudogracilis	Crangonyx	Crangonyctidae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	2217982	ACCEPTED			NULL
140562990	Synurella ambulans	289244ee-e1c1-49aa-b2d7-d379391ce265	4416920	Synurella ambulans (F.Müller, 1846)	Synurella ambulans	Synurella	Crangonyctidae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	4416920	ACCEPTED			NULL
140562992	Chelicorophium curvispinum	289244ee-e1c1-49aa-b2d7-d379391ce265	4314683	Chelicorophium curvispinum (G.O.Sars, 1895)	Chelicorophium curvispinum	Chelicorophium	Corophiidae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	4314683	ACCEPTED			ORIGINAL_NAME_DERIVED
140562993	Monocorophium sextonae	289244ee-e1c1-49aa-b2d7-d379391ce265	4314702	Monocorophium sextonae (Crawford, 1937)	Monocorophium sextonae	Monocorophium	Corophiidae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	4314702	ACCEPTED			ORIGINAL_NAME_DERIVED
140562995	Incisocalliope aestuarius	289244ee-e1c1-49aa-b2d7-d379391ce265	5177825	Incisocalliope aestuarius (Watling & Maurer, 1973)	Incisocalliope aestuarius	Incisocalliope	Pleustidae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	5177825	ACCEPTED			ORIGINAL_NAME_DERIVED
140562997	Gammarus roeseli	289244ee-e1c1-49aa-b2d7-d379391ce265	5864277	Gammarus roeselii Gervais, 1835	Gammarus roeselii	Gammarus	Gammaridae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	5864277	ACCEPTED			NULL
140562998	Dikerogammarus villosus	289244ee-e1c1-49aa-b2d7-d379391ce265	4315705	Dikerogammarus villosus (Sowinsky, 1894)	Dikerogammarus villosus	Dikerogammarus	Gammaridae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	4315705	ACCEPTED			NULL
140562999	Gammarus tigrinus	289244ee-e1c1-49aa-b2d7-d379391ce265	2219863	Gammarus tigrinus Sexton, 1939	Gammarus tigrinus	Gammarus	Gammaridae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	2219863	ACCEPTED			NULL
140563000	Echinogammarus trichiatus	289244ee-e1c1-49aa-b2d7-d379391ce265	4417131	Echinogammarus trichiatus (Martynov, 1932)	Echinogammarus trichiatus	Echinogammarus	Gammaridae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	4417131	ACCEPTED			NULL
140563001	Echinogammarus berilloni	289244ee-e1c1-49aa-b2d7-d379391ce265	4315760	Echinogammarus berilloni (Catta, 1878)	Echinogammarus berilloni	Echinogammarus	Gammaridae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	4315760	ACCEPTED			NULL
140563003	Caprella mutica	289244ee-e1c1-49aa-b2d7-d379391ce265	5178057	Caprella mutica Schurin, 1935	Caprella mutica	Caprella	Caprellidae	Amphipoda	Malacostraca	Arthropoda	Animalia	SPECIES	5178057	ACCEPTED			NULL
140563006	Palaemon macrodactylus	289244ee-e1c1-49aa-b2d7-d379391ce265	2224970	Palaemon macrodactylus M.J.Rathbun, 1902	Palaemon macrodactylus	Palaemon	Palaemonidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2224970	ACCEPTED			NULL
140563008	Rhithropanopeus harrisii	289244ee-e1c1-49aa-b2d7-d379391ce265	2227663	Rhithropanopeus harrisii (Gould, 1841)	Rhithropanopeus harrisii	Rhithropanopeus	Panopeidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2227663	ACCEPTED			NULL
140563010	Hemigrapsus takanoi	289244ee-e1c1-49aa-b2d7-d379391ce265	4382841	Hemigrapsus takanoi Asakura & Watanabe, 2005	Hemigrapsus takanoi	Hemigrapsus	Varunidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	4382841	ACCEPTED			NULL
140563011	Hemigrapsus sanguineus	289244ee-e1c1-49aa-b2d7-d379391ce265	2225772	Hemigrapsus sanguineus (De Haan, 1835)	Hemigrapsus sanguineus	Hemigrapsus	Varunidae	Decapoda	Malacostraca	Arthropoda	Animalia	SPECIES	2225772	ACCEPTED			ORIGINAL_NAME_DERIVED
