checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Sedum stoloniferum S.G. Gmel.	Sedum stoloniferum S.G.Gmel.	5362051	Plantae	SYNONYM	Phedimus stoloniferus (S.G.Gmel.) 't Hart	4201585			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum anopetalum DC.	Sedum anopetalum DC.	5362017	Plantae	SYNONYM	Petrosedum ochroleucum subsp. ochroleucum	9338223	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum hybridum L.	Sedum hybridum L.	5362013	Plantae	SYNONYM	Phedimus middendorfianus (Maxim.) 't Hart	4201668			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum anacampseros L.	Sedum anacampseros L.	5687999	Plantae	SYNONYM	Hylotelephium anacampseros (L.) H.Ohba	4202184			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum kamtschaticum Fisch. & C.A. Mey. subsp. ellacombianum (Praeg.) R.T. Clausen	Sedum kamtschaticum subsp. ellacombianum (Praeger) R.T.Clausen	5708682	Plantae	SYNONYM	Phedimus ellacombianus (Praeger) H.'t Hart	4927972	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum spurium Bieb.	Sedum spurium Bieb.	5362018	Plantae	SYNONYM	Phedimus spurius (M.Bieb.) 't Hart	4201607			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crassula helmsii (T. Kirk) Cock.	Crassula helmsii (Kirk) Cockayne	5362054	Plantae	SYNONYM	Crassula helmsii A.Berger	8035075	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum spectabile Boreau	Sedum spectabile Bor.	5362067	Plantae	SYNONYM	Hylotelephium spectabile (Boreau) H.Ohba	2985863			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sedum telephium L. subsp. maximum (L.) Rouy & E.G. Camus	Sedum telephium subsp. maximum (L.) Rouy & E.G.Camus, 1901	9340574	Plantae	SYNONYM	Hylotelephium maximum (L.) J.Holub	7334631	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Zinnia violacea Cav.	Zinnia violacea Cav.	3111758	Plantae	SYNONYM	Zinnia elegans Jacq.	3111754			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hemizonia fasciculata Torr. & A. Gray	Hemizonia fasciculata (DC.) Torr. & A.Gray	3145372	Plantae	SYNONYM	Deinandra fasciculata Greene	3145375			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hemizonia pungens (Hook. & Arnott) Torr. & A. Gray	Hemizonia pungens (Hook. & Arn.) Torr. & A.Gray	3145384	Plantae	SYNONYM	Centromadia pungens subsp. pungens	7222628	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Artemisia sieversiana Ehrh.	Artemisia sieversiana Ehrh.	7807853	Plantae	SYNONYM	Artemisia sieversiana Ehrh. ex Willd.	3121562	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
