checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Lamprocapnos spectabilis (L.) Fukuhara	Lamprocapnos spectabilis (L.) T.Fukuhara	2888564	Plantae	SYNONYM	Fumaria barnolae subsp. barnolae	7314977	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Papaver somniferum L. subsp. setigerum (DC.) Arcang.	Papaver somniferum subsp. setigerum (DC.) Arcangeli	8242032	Plantae	SYNONYM	Papaver setigerum DC.	3602227	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Carex agastachys L.f.	Carex agastachys L.f.	2725229	Plantae	SYNONYM	Carex pendula Huds.	2722051			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cyperus esculentus L. var. leptostachyus Boeckeler	Cyperus esculentus var. leptostachyus Boeckeler	8087010	Plantae	SYNONYM	Cyperus esculentus L.	2716226			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cyperus longus L. subsp. tenuiflorus (Rottb.) Kük.	Cyperus longus subsp. tenuiflorus (Rottb.) Kük.	2716588	Plantae	SYNONYM	Cyperus longus subsp. longus	7070211			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cyperus involucratus Rottb.	Cyperus involucratus Rottb.	2714166	Plantae	SYNONYM	Cyperus alternifolius subsp. flabelliformis Kük.	2714158			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eleocharis austriaca Hayek	Eleocharis austriaca Hayek	2717405	Plantae	SYNONYM	Eleocharis mamillata subsp. austriaca (Hayek) Strandh.	2717402			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Carex praecox Schreb. subsp. intermedia (Čelak.) W. Schultze-Motel	Carex praecox subsp. intermedia (Celak.) W.Schultze-Motel	2728287	Plantae	SYNONYM	Carex praecox Schreb.	2724120			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Scirpus atrovirens Willd. subsp. georgianus (R.M. Harper) Verloove & Lambinon	Scirpus atrovirens subsp. georgianus (R.M.Harper) Verloove & Lambinon	8390304	Plantae	SYNONYM	Scirpus georgianus R.M.Harper	2720269	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hypericum x moserianum André	Hypericum moserianum André	3189474	Plantae	SYNONYM	Hypericum moseranum Andre	3189468	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Stellaria media (L.) Cirillo subsp. cupaniana (Jord. & Fourr.) Nyman	Stellaria media subsp. cupaniana (Jord. & Fourr.) Nym.	7625143	Plantae	SYNONYM	Stellaria cupaniana (Jordan & Fourr.) Beguinot	7938233	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cerastium x maureri M. Schulze	Cerastium ×maureri Schulze	7925372	Plantae	SYNONYM	Cerastium arvense subsp. arvense x tomentosum	9660664			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Silene scabriflora Brot.	Silene scabriflora Brot.	8419625	Plantae	SYNONYM	Silene pendula L.	5384773			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sagina subulata (Swartz) C. Presl	Sagina subulata (Sw.) C.Presl	3085400	Plantae	SYNONYM	Sagina alexandrae Iamonico	9440906	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Agrostemma gracile Boiss.	Agrostemma gracile Boiss.	7534154	Plantae	SYNONYM	Agrostemma brachyloba (Fenzl) K.Hammer	3085366			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Allium porrum L.	Allium porrum L.	7668251	Plantae	SYNONYM	Allium ampeloprasum L.	2856037			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Galanthus x warei J. Allen	Galanthus warei J.Allen	7556596	Plantae	SYNONYM	Galanthus nivalis L.	2855356			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Narcissus obvallaris Salisb.	Narcissus obvallaris Salisb.	2858374	Plantae	SYNONYM	Narcissus pseudonarcissus subsp. major (Curtis) Baker	2858363			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Galanthus nivalis L. var. scharlockii Caspary	Galanthus nivalis var. scharlockii Casp.	2855358	Plantae	SYNONYM	Galanthus nivalis L.	2855356			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Tristagma uniflorum (Lindl.) Traub	Tristagma uniflorum (Lindl.) Traub	2859569	Plantae	SYNONYM	Ipheion uniflorum Raf.	2859597	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Humulus japonicus Sieb. et Zucc.	Humulus japonicus Sieb. & Zucc.	2984536	Plantae	SYNONYM	Humulopsis scandens (Lour.) Grudz.	3874408			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus japonicus Thunb. subsp. subsquarrosus (Borbás) Pénzes	Bromus japonicus subsp. subsquarrosus (Borbás) Pénzes	5943991	Plantae	SYNONYM	Bromus japonicus subsp. japonicus	7226794			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus japonicus Thunb. subsp. phrygius (Boiss.) Pénzes	Bromus japonicus subsp. phrygius (Boiss.) Pénzes	8404210	Plantae	SYNONYM	Bromus japonicus subsp. japonicus	7226794	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Begonia x semperflorens hort.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ephedra saxatalis (Stapf) Royle subsp. sikkimensis (Stapf) Florin									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spiranthes cernua (L.) Richard x S. odorata  (Nuttall) Lindley									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pterocarya x rhederiana C.K. Schneider									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Berberis bealei Fortune (incl. hybrids)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Berberis x wagneri (Jouin) Rehder									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ipomoea lacunosa L. f. lacunosa									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lysichiton americanus Hultén & St John x L. camtschatcensis (L.) Schott									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
"Sedum ""Autumn Joy"" (S. spectabile Boreau x telephium L.)"									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Symphyotrichum laeve (L.) A. & D. Love (incl. S. versicolor (Willd.) Nesom)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pulicaria arabica (L.) Cass. subsp. arabica									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Symphyotrichum lanceolatum (Willd.) Nesom (incl. S. tradescantii (L.) Nesom)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rosa chinensis group									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rosa 'Hollandica'									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rosa 'Dorothy Perkins'									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cotoneaster coriaceus Franch. (incl. C. lacteus W.W. Smith)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Prunus domestica L. subsp. instititia (L.) Bonnier & Layens									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Linaria bipartita (Vent.) Desf.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Veronica teucrium L. subsp. teucrium									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Veronica austriaca Jacq.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Vulpia ciliata Dum. subsp. ciliata									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis virescens J. Presl subsp. virescens									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Digitaria ciliaris (Retz.) Koeler subsp. ciliaris									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
x Festulolium braunii (K. Richt.) A. Camus (Festuca pratensis Huds. x Lolium perenne L.)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Austrodanthonia racemosa (R. Brown) H.P. Linder var. racemosa									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Avena sativa L. x sterilis L.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Secale xderzhavinii Tzvelev									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis brownii (Kunth) Nees ex Wight									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Trisetaria panicea (Lam.) Maire									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Digitaria sanguinalis (L.) Scop. subsp. sanguinalis									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dinebra decipiens (R. Brown) P.M. Peterson & N. Snow subsp. decipiens									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Glyceria striata (Lam.) Hitchc. subsp. diffomis Portal									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus carinatus Hook. & Arnott var. carinatus									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Iberis amara L. var. coronaria (D. Don) Voss									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Strigosella africana (L.) Botsch. var. africana									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Neslia paniculata (L.) Desv. subsp. thracia (Velen.) Bornm.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Smyrnium olusastrum L.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chenopodium x pelgrimsianum Aell.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Atriplex pseudocampanulata Aell.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Atriplex eardleyae Aell.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chenopodium album L. x hircinum									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chenopodium bushianum Aell.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chenopodium missouriense Aell.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Mentha x piperita L. nsubsp. piperita (M. aquatica L. x spicata subsp. glabrata)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aesculus pavia L. (incl. var. discolor (Pursh) Torr. & A. Gray)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cheilanthes viridis (Forssk.) Prantl var. macrophylla (Kunze) Sim									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Persicaria pensylvanica (L.) Gómez de la Maza									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erodium cygnorum Nees subsp. cygnorum									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alcea ficifolia L. (Alcea rosea x rugosa)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva alcea L. var. ribifolia (Viv.) Paol.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Malva trimestris (L.) Salisb. var. trimestris									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera affinis Cambess. ex A. St. Hil.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Oenothera glazioviana Micheli var. azorica (Rostański) Verloove									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salix purpurea L. var. purpurea									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salix elaeagnos Scop. subsp. angustifolia (Cariot) Rech. f.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Salix x sepulcralis Simonk. nvar. chrysocoma (Dode) Meikle									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lotus corniculatus L.var. sativus Hyl. ex Jalas									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Vicia narbonensis L. subsp. narbonensis									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Nemesia Hybrids									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Iris x hollandica Hort.									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Solanum aethiopicum L. var. aculeatum Dunal									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Physalis longifolia Nutt. subsp. subglabrata (Mack. & Bush) Cronquist									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Juncus tenuis Willd. subsp. tenuis									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Chlorophytum comosum group									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Galanthus nivalis L. var. nivalis									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Allium paradoxum (Bieb.) G. Don var. paradoxum									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erythranthe guttata (DC.) G.L. Nesom (incl. hybrids)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erythranthe lutea (L.) G.L.Nesom (incl. hybrids)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erythranthe cuprea (Dombrain) G.L. Nesom (incl. hybrids)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Campsis radicans (L.) Seem. (incl. C. x tagliabuana (Vis.) Rehd.)									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus japonicus Thunb. subsp. japonicus									2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
