taxonKey,marine,freshwater,terrestrial
141265250,FALSE,FALSE,TRUE
141265251,FALSE,FALSE,TRUE
141265252,FALSE,FALSE,TRUE
141265253,FALSE,FALSE,TRUE
141265254,FALSE,FALSE,TRUE
141265255,FALSE,FALSE,TRUE
141265256,FALSE,FALSE,TRUE
141265257,FALSE,FALSE,TRUE
141265258,FALSE,FALSE,TRUE
141265259,FALSE,FALSE,TRUE
141265260,FALSE,FALSE,TRUE
141265261,FALSE,FALSE,TRUE
141265262,FALSE,FALSE,TRUE
141265263,FALSE,FALSE,TRUE
141265264,FALSE,FALSE,TRUE
141265265,FALSE,FALSE,TRUE
141265266,FALSE,FALSE,TRUE
141265267,FALSE,FALSE,TRUE
141265268,FALSE,FALSE,TRUE
141265269,FALSE,FALSE,TRUE
141265270,FALSE,FALSE,TRUE
141265271,FALSE,FALSE,TRUE
141265272,FALSE,FALSE,TRUE
141265273,FALSE,FALSE,TRUE
141265274,FALSE,FALSE,TRUE
141265275,FALSE,FALSE,TRUE
141265276,FALSE,FALSE,TRUE
141265277,FALSE,FALSE,TRUE
141265278,FALSE,FALSE,TRUE
141265279,FALSE,FALSE,TRUE
141265280,FALSE,FALSE,TRUE
141265281,FALSE,FALSE,TRUE
141265282,FALSE,FALSE,TRUE
141265283,FALSE,FALSE,TRUE
141265284,FALSE,FALSE,TRUE
141265285,FALSE,FALSE,TRUE
141265286,FALSE,FALSE,TRUE
141265287,FALSE,FALSE,TRUE
141265288,FALSE,FALSE,TRUE
141265289,FALSE,FALSE,TRUE
141265290,FALSE,FALSE,TRUE
141265291,FALSE,FALSE,TRUE
141265292,FALSE,FALSE,TRUE
141265293,FALSE,FALSE,TRUE
141265294,FALSE,FALSE,TRUE
141265295,FALSE,FALSE,TRUE
141265296,FALSE,FALSE,TRUE
141265297,FALSE,FALSE,TRUE
141265298,FALSE,FALSE,TRUE
141265299,FALSE,FALSE,TRUE
141265300,FALSE,FALSE,TRUE
141265301,FALSE,FALSE,TRUE
141265302,FALSE,FALSE,TRUE
141265303,FALSE,FALSE,TRUE
141265304,FALSE,FALSE,TRUE
141265305,FALSE,FALSE,TRUE
141265306,FALSE,FALSE,TRUE
141265307,FALSE,FALSE,TRUE
141265308,FALSE,FALSE,TRUE
141265309,FALSE,FALSE,TRUE
141265310,FALSE,FALSE,TRUE
141265311,FALSE,FALSE,TRUE
141265312,FALSE,FALSE,TRUE
141265313,FALSE,FALSE,TRUE
141265314,FALSE,FALSE,TRUE
141265315,FALSE,FALSE,TRUE
141265316,FALSE,FALSE,TRUE
141265317,FALSE,FALSE,TRUE
141265318,FALSE,FALSE,TRUE
141265319,FALSE,FALSE,TRUE
141265320,FALSE,FALSE,TRUE
141265321,FALSE,FALSE,TRUE
141265322,FALSE,FALSE,TRUE
141265323,FALSE,FALSE,TRUE
141265324,FALSE,FALSE,TRUE
141265325,FALSE,FALSE,TRUE
141265326,FALSE,FALSE,TRUE
141265327,FALSE,FALSE,TRUE
141265328,FALSE,FALSE,TRUE
141265329,FALSE,FALSE,TRUE
141265330,FALSE,FALSE,TRUE
141265331,FALSE,FALSE,TRUE
141265332,FALSE,FALSE,TRUE
