taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,bb_speciesKey
141264665,Ephedra distachya L.,alien-plants-belgium:taxon:cbf08824b6194130d4a79402b717eadc,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2653321,Ephedra distachya L.,Plantae,SPECIES,ACCEPTED,,,2653321
141264666,Ephedra saxatalis (Stapf) Royle subsp. sikkimensis (Stapf) Florin,alien-plants-belgium:taxon:66516762ea79b3ca3e99e25a9cb90b9a,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,bbmn,TRUE,,,,,,,,
141264668,Cabomba caroliniana A. Gray,alien-plants-belgium:taxon:6e19186814dc64a9887f00fae533f0ab,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2882443,Cabomba caroliniana A.Gray,Plantae,SPECIES,ACCEPTED,,,2882443
141264670,Selaginella kraussiana (Kunze) A. Braun,alien-plants-belgium:taxon:6cb7af039d501567655c92dc37c7a922,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2688189,Selaginella kraussiana (Kunze) A.Braun,Plantae,SPECIES,ACCEPTED,,,2688189
141264672,Morus alba L.,alien-plants-belgium:taxon:f5869c9c460c08f0f05a41d60f3ab73c,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5361889,Morus alba L.,Plantae,SPECIES,ACCEPTED,,,5361889
141264673,Morus nigra L.,alien-plants-belgium:taxon:c45fd7624a951bdbe6794a6d15b9280f,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5361888,Morus nigra L.,Plantae,SPECIES,ACCEPTED,,,5361888
141264674,Broussonetia papyrifera (L.) Vent.,alien-plants-belgium:taxon:71240bfe1da08c8b2e3a32dd71bfb3a1,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5361944,Broussonetia papyrifera (L.) Vent.,Plantae,SPECIES,ACCEPTED,,,5361944
141264675,Ficus carica L.,alien-plants-belgium:taxon:6c7bfeb0f4baaf3cc7cb808afc03e766,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5361909,Ficus carica L.,Plantae,SPECIES,ACCEPTED,,,5361909
141264677,Ginkgo biloba L.,alien-plants-belgium:taxon:6a719a65486085f6b46bed5ede2e0c08,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2687885,Ginkgo biloba L.,Plantae,SPECIES,ACCEPTED,,,2687885
141264679,Actinidia deliciosa (Chevalier) C.S. Liang & A.R. Ferguson,alien-plants-belgium:taxon:5c33253debbe5777c0499b5c4d76b6e4,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,7270761,Actinidia deliciosa (Chev.) C.F.Liang & A.R.Ferguson,Plantae,SPECIES,HOMOTYPIC_SYNONYM,3644922,Actinidia chinensis var. hispida C.F.Liang,3189694
